 Alm, Class
49,0
57,0
48,0
56,0
48,0
59,0
66,0
6,0
59,0
57,0
45,0
52,0
5,0
54,0
55,0
55,0
5,0
48,0
42,0
52,0
52,0
52,0
53,0
43,0
43,0
61,0
51,0
42,0
43,0
53,0
39,0
39,1
58,0
58,0
52,0
51,0
34,1
51,0
45,1
55,0
58,0
56,0
56,0
49,0
51,0
53,0
52,0
47,0
51,0
45,0
57,0
55,0
59,0
52,0
49,0
44,0
54,0
58,0
53,0
59,0
51,0
55,0
6,0
63,0
21,1
35,1
45,0
59,0
62,0
47,0
56,0
49,0
37,1
52,0
4,0
57,0
35,1
39,1
5,0
57,0
55,0
36,1
55,0
52,0
48,0
5,0
41,0
57,0
49,0
5,0
5,0
56,0
57,0
48,0
66,0
29,0
49,0
34,1
54,0
53,0
48,0
55,0
59,0
57,0
52,0
57,0
52,0
5,0
5,1
58,0
64,0
56,0
51,0
57,0
4,0
53,0
61,0
5,0
48,0
47,0
5,0
5,0
53,0
44,0
51,0
46,0
5,0
52,0
71,0
49,0
53,0
43,1
42,1
33,1
38,1
3,1
53,0
44,0
5,0
55,0
44,0
48,0
56,0
49,0
56,0
53,0
69,0
51,0
52,0
53,0
52,0
52,0
51,0
38,0
6,0
51,0
45,0
34,0
37,0
44,0
41,0
34,0
38,0
6,0
43,0
44,0
56,0
44,0
45,0
46,0
46,0
59,0
43,0
54,0
37,1
48,0
58,0
45,0
66,0
54,0
38,0
6,0
53,0
54,0
33,1
49,0
54,0
58,0
51,0
71,0
6,0
72,0
52,0
55,0
45,0
66,0
34,1
3,1
52,0
56,0
46,0
54,0
59,0
5,0
56,0
5,0
47,0
54,0
54,0
52,0
41,0
53,0
35,1
55,0
46,0
33,0
53,0
5,0
57,0
3,1
32,0
53,0
53,0
4,1
37,1
43,1
49,0
44,0
46,0
4,0
45,0
43,1
45,0
46,0
42,1
41,0
46,0
47,0
47,0
49,0
48,0
45,0
42,0
51,0
53,0
51,0
53,0
33,1
42,1
28,1
49,0
44,0
57,0
52,0
