Mcg, Alm, Mit, Pox, Class
64,49,15,0,0
58,57,13,0,0
42,48,54,0,0
51,56,17,5,0
5,48,65,0,0
48,59,2,0,0
55,66,36,0,0
4,6,15,0,0
42,59,2,0,0
4,57,35,0,0
66,45,19,0,0
46,52,11,0,0
47,5,11,0,0
58,54,11,0,0
5,55,21,0,0
61,55,21,0,0
45,5,16,0,0
43,48,22,0,0
73,42,3,0,0
43,52,13,0,0
46,52,15,0,0
51,52,51,0,0
59,53,19,0,0
53,43,1,0,0
51,43,87,0,0
38,61,12,0,0
33,51,43,0,0
78,42,26,0,0
59,43,44,0,0
57,53,34,0,0
86,39,24,0,0
41,39,2,0,1
53,58,39,0,0
74,58,47,0,0
49,52,29,0,0
74,51,28,0,0
42,34,16,0,1
48,51,21,0,0
41,45,14,0,1
45,55,43,0,0
56,58,27,0,0
64,56,23,0,0
64,56,22,0,0
66,49,1,0,0
53,51,33,0,0
38,53,19,0,0
43,52,52,0,0
37,47,18,0,0
48,51,32,0,0
6,45,22,0,0
34,57,9,0,0
48,55,12,0,0
47,59,15,0,0
48,52,24,0,0
58,49,27,0,0
6,44,61,0,0
45,54,66,0,0
46,58,23,0,0
5,53,54,0,0
63,59,4,0,0
43,51,49,0,0
48,55,5,0,0
51,6,57,0,0
54,63,37,0,0
28,21,13,0,1
39,35,16,0,1
8,45,29,0,0
5,59,3,0,0
36,62,46,0,0
46,47,22,0,0
4,56,2,0,0
49,49,25,0,0
38,37,26,0,1
69,52,36,0,0
78,4,28,0,0
64,57,27,0,0
36,35,24,0,1
36,39,12,0,1
47,5,4,0,0
48,57,27,0,0
47,55,24,0,0
44,36,16,0,1
3,55,18,0,0
65,52,16,0,0
27,48,23,0,0
45,5,46,5,0
44,41,23,0,0
3,57,19,0,0
4,49,47,0,0
45,5,16,0,0
45,5,6,0,0
59,56,41,0,0
47,57,48,0,0
35,48,22,0,0
47,66,26,0,0
64,29,28,0,0
59,49,43,0,0
54,34,31,0,1
58,54,17,0,0
4,53,16,0,0
46,48,53,0,0
53,55,5,0,0
41,59,47,0,0
5,57,15,0,0
4,52,31,0,0
6,57,25,0,0
62,52,42,0,0
34,5,21,0,0
39,5,26,0,1
29,58,15,0,0
47,64,3,0,0
39,56,16,0,0
58,51,47,0,0
64,57,19,0,0
37,4,27,0,0
43,53,16,0,0
28,61,9,0,0
59,5,14,0,0
39,48,31,0,0
26,47,34,0,0
51,5,19,0,0
58,5,12,0,0
44,53,14,0,0
41,44,34,0,0
45,51,24,0,0
36,46,16,0,0
42,5,15,0,0
67,52,65,0,0
4,71,21,0,0
54,49,2,0,0
57,53,18,0,0
35,43,11,0,1
42,42,2,0,1
26,33,28,0,1
39,38,4,0,1
26,3,11,0,1
31,53,23,0,0
48,44,2,0,0
66,5,23,0,0
21,55,11,0,0
38,44,45,0,0
44,48,32,83,0
31,56,33,0,0
49,49,35,0,0
38,56,21,0,0
39,53,67,0,0
24,69,18,0,0
49,51,13,0,0
54,52,18,0,0
43,53,53,0,0
31,52,17,0,0
32,52,24,0,0
37,51,11,0,0
75,38,27,0,0
44,6,21,0,0
52,51,54,0,0
63,45,58,0,0
72,34,29,0,0
72,37,3,0,0
57,44,37,0,0
42,41,65,0,0
59,34,22,0,0
52,38,34,0,0
5,6,51,0,0
49,43,56,0,0
5,44,5,0,0
5,56,7,0,0
37,44,51,0,0
55,45,54,0,0
67,46,29,0,0
53,46,28,0,0
47,59,49,0,0
73,43,3,0,0
7,54,28,0,0
47,37,14,0,1
56,48,17,0,0
56,58,21,0,0
58,45,12,0,0
53,66,25,0,0
34,54,11,0,0
69,38,27,0,0
37,6,19,5,0
41,53,17,0,0
31,54,52,0,0
36,33,14,0,1
82,49,23,0,0
82,54,23,0,0
41,58,15,0,0
53,51,33,0,0
46,71,15,0,0
53,6,13,0,0
42,72,22,0,0
2,52,14,0,0
51,55,14,0,0
44,45,51,0,0
27,66,11,0,0
55,34,3,0,1
34,3,23,0,1
44,52,23,83,0
59,56,21,0,0
39,46,12,0,0
56,54,16,0,0
35,59,22,0,0
42,5,21,0,0
55,56,22,0,0
8,5,15,0,0
6,47,2,0,0
47,54,62,0,0
43,54,14,0,0
53,52,21,0,0
54,41,16,0,0
46,53,16,0,0
51,35,16,0,1
56,55,19,0,0
37,46,23,0,0
83,33,4,0,0
39,53,18,0,0
52,5,21,0,0
35,57,11,0,0
36,3,22,0,1
78,32,23,0,0
55,53,11,0,0
45,53,32,0,0
29,4,15,0,1
52,37,14,0,1
58,43,12,0,1
54,49,34,0,0
57,44,16,0,0
59,46,19,0,0
92,4,22,0,0
55,45,14,0,0
36,43,19,0,1
34,45,19,0,0
62,46,13,0,0
53,42,19,0,1
73,41,16,0,0
55,46,31,0,0
35,47,13,0,0
77,47,37,0,0
35,49,15,0,0
43,48,14,0,0
57,45,26,0,0
63,42,12,0,0
25,51,18,0,0
56,53,24,0,0
58,51,24,0,0
71,53,15,0,0
46,33,17,0,1
54,42,22,0,1
39,28,12,0,1
33,49,8,0,0
46,44,21,0,0
35,57,17,0,0
54,52,19,0,0
42,4,17,0,1
91,34,47,0,0
81,39,41,0,0
45,56,14,0,0
47,58,16,0,0
41,51,52,0,0
37,32,22,0,1
69,5,31,0,0
84,36,78,0,0
37,62,27,0,0
55,57,32,0,0
48,42,21,0,0
62,52,15,0,0
56,53,16,0,0
44,37,15,0,1
44,49,15,0,0
6,49,3,0,0
49,34,21,0,1
35,57,4,0,0
7,43,33,0,0
23,58,22,0,0
51,46,15,0,0
32,52,2,0,0
59,52,3,0,0
41,41,11,0,0
37,5,12,0,0
45,49,17,0,0
56,59,14,0,0
31,54,18,0,0
54,57,18,0,0
17,45,9,0,0
43,54,15,0,0
6,59,18,0,0
91,57,45,0,0
38,53,12,0,0
59,52,19,0,0
64,45,13,0,0
52,51,12,0,0
49,48,15,0,0
49,52,16,0,0
48,49,18,0,0
44,55,18,0,0
43,58,16,0,0
2,33,1,0,1
3,47,11,0,0
31,5,17,0,0
55,56,21,0,0
4,52,17,0,0
4,5,17,0,0
58,56,1,0,0
58,56,12,0,0
58,51,26,0,0
41,53,29,0,0
69,49,42,0,0
6,44,52,0,0
28,55,11,0,0
56,63,39,0,0
46,57,15,0,0
43,54,22,0,0
48,47,14,0,0
35,53,18,0,0
47,53,62,0,0
53,47,15,0,0
44,62,14,0,0
37,58,24,0,0
37,58,24,0,0
39,55,52,0,0
39,55,52,0,0
48,38,29,0,1
48,5,9,0,0
61,45,21,0,0
51,3,35,0,1
53,34,42,0,1
37,64,35,0,0
51,58,22,0,0
49,59,17,0,0
51,58,22,0,0
53,53,17,0,0
29,47,26,0,0
5,49,15,0,0
33,31,24,0,1
85,3,31,0,0
43,51,28,0,0
34,61,19,0,0
55,56,29,0,0
37,34,25,0,1
45,51,64,0,0
38,52,75,0,0
61,49,19,0,0
44,52,37,0,0
44,52,37,0,0
32,61,17,0,0
34,61,18,0,0
51,49,59,0,0
41,49,28,0,0
41,5,28,0,0
3,34,26,0,1
49,34,26,0,1
34,3,23,0,1
43,3,18,0,1
45,3,17,0,1
42,33,17,0,1
52,53,1,0,0
53,49,46,0,0
45,54,62,0,0
51,63,18,0,0
51,48,5,0,0
55,5,46,0,0
5,52,16,0,0
5,45,44,0,0
45,53,74,0,0
57,55,67,0,0
54,62,13,0,0
47,66,45,0,0
51,43,18,0,0
56,59,14,0,0
45,59,18,0,0
43,6,25,0,0
47,43,13,0,1
4,42,17,0,1
89,36,71,0,0
58,52,22,0,0
59,46,14,0,0
49,32,21,0,1
5,42,32,0,1
68,43,27,0,0
46,5,44,0,0
32,34,19,0,1
4,42,13,0,1
65,39,3,0,1
47,35,32,0,1
42,6,14,0,0
23,41,28,0,0
34,6,37,0,0
67,34,41,0,0
54,54,52,0,0
53,54,56,0,0
84,38,23,0,0
89,36,34,0,0
36,47,22,0,1
57,48,16,0,0
43,53,52,0,0
38,54,10,0,0
43,56,27,0,0
27,56,18,0,0
89,6,49,0,0
86,5,37,0,0
37,29,32,0,1
87,57,36,0,0
52,54,28,0,0
76,56,34,0,0
58,4,37,0,0
94,33,49,0,0
42,39,22,0,1
52,58,55,0,0
42,48,16,0,0
48,52,61,0,0
83,52,2,0,0
36,46,19,0,0
51,47,19,0,0
54,49,14,0,0
44,44,13,0,0
52,54,19,0,0
53,47,22,0,0
48,5,47,0,0
46,36,21,0,1
46,46,16,0,0
52,57,57,0,0
78,47,3,0,0
49,65,18,0,0
39,33,23,0,1
39,56,15,0,0
33,54,28,0,0
39,33,23,0,1
33,53,26,0,0
47,54,48,0,0
72,42,28,0,0
41,51,19,0,0
81,52,41,0,0
5,52,2,0,0
18,46,12,0,0
26,52,36,0,0
53,51,11,0,0
58,5,41,0,0
62,47,16,0,0
68,51,19,83,0
4,53,52,0,0
51,41,44,0,1
72,4,26,0,0
49,45,22,0,0
32,55,25,0,0
46,52,28,0,0
53,45,44,0,0
49,46,63,0,0
68,49,15,0,0
55,45,18,0,0
4,61,21,0,0
57,42,2,0,0
4,48,18,0,0
34,54,13,0,0
55,5,28,0,0
29,54,27,0,0
46,6,21,0,0
8,55,35,0,0
45,63,67,0,0
66,52,44,0,0
54,54,2,0,0
37,53,16,0,0
48,54,55,0,0
6,45,23,0,0
45,47,65,0,0
66,49,16,0,0
46,61,13,0,0
42,53,22,83,0
66,32,54,0,0
74,35,36,0,0
89,41,26,0,0
67,54,21,0,0
58,46,34,0,0
4,5,82,0,0
59,43,26,0,0
39,56,12,0,0
6,54,4,0,0
36,53,48,0,0
51,56,38,0,0
57,62,3,0,0
52,59,31,0,0
42,53,64,0,0
5,64,36,0,0
6,6,38,83,0
6,64,52,0,0
53,58,29,0,0
41,53,41,0,0
45,63,4,0,0
44,67,35,0,0
57,55,27,0,0
57,58,35,0,0
56,61,49,0,0
6,59,16,0,0
36,56,44,0,0
53,61,35,0,0
62,54,47,0,0
55,6,31,0,0
58,57,46,0,0
65,55,52,0,0
58,5,53,0,0
61,51,37,0,0
55,47,64,0,0
54,5,13,0,0
4,49,16,0,0
76,35,27,0,0
51,51,42,0,0
43,5,29,0,0
49,45,55,0,0
32,44,2,0,0
51,51,26,0,0
49,42,46,0,0
5,49,61,0,0
52,62,12,0,0
51,62,24,0,0
46,53,31,0,0
58,54,69,0,0
61,47,49,0,0
63,56,12,0,0
55,54,4,0,0
41,58,62,0,0
44,53,37,0,0
57,48,24,0,0
46,56,12,0,0
47,55,28,0,0
39,49,17,0,0
58,4,21,0,0
53,5,24,0,0
43,5,18,0,0
41,46,19,0,0
