Mcg, Alm, Mit, Pox, Vac, Class
64,49,15,0,53,0
58,57,13,0,54,0
42,48,54,0,48,0
51,56,17,5,49,0
5,48,65,0,53,0
48,59,2,0,58,0
55,66,36,0,49,0
4,6,15,0,58,0
42,59,2,0,52,0
4,57,35,0,53,0
66,45,19,0,46,0
46,52,11,0,5,0
47,5,11,0,49,0
58,54,11,0,51,0
5,55,21,0,49,0
61,55,21,0,5,0
45,5,16,0,5,0
43,48,22,0,51,0
73,42,3,0,49,0
43,52,13,0,55,0
46,52,15,0,58,0
51,52,51,0,54,0
59,53,19,0,59,0
53,43,1,0,57,0
51,43,87,0,52,0
38,61,12,0,53,0
33,51,43,0,51,0
78,42,26,0,43,0
59,43,44,0,5,0
57,53,34,0,53,0
86,39,24,0,54,0
41,39,2,0,51,1
53,58,39,0,47,0
74,58,47,0,4,0
49,52,29,0,48,0
74,51,28,0,58,0
42,34,16,0,5,1
48,51,21,0,52,0
41,45,14,0,52,1
45,55,43,0,55,0
56,58,27,0,51,0
64,56,23,0,46,0
64,56,22,0,45,0
66,49,1,0,49,0
53,51,33,0,55,0
38,53,19,0,5,0
43,52,52,0,54,0
37,47,18,0,45,0
48,51,32,0,52,0
6,45,22,0,51,0
34,57,9,0,55,0
48,55,12,0,51,0
47,59,15,0,57,0
48,52,24,0,56,0
58,49,27,0,57,0
6,44,61,0,47,0
45,54,66,0,47,0
46,58,23,0,44,0
5,53,54,0,51,0
63,59,4,0,38,0
43,51,49,0,48,0
48,55,5,0,53,0
51,6,57,0,58,0
54,63,37,0,46,0
28,21,13,0,51,1
39,35,16,0,55,1
8,45,29,0,51,0
5,59,3,0,51,0
36,62,46,0,51,0
46,47,22,0,52,0
4,56,2,0,45,0
49,49,25,0,5,0
38,37,26,0,43,1
69,52,36,0,46,0
78,4,28,0,53,0
64,57,27,0,37,0
36,35,24,0,44,1
36,39,12,0,49,1
47,5,4,0,41,0
48,57,27,0,48,0
47,55,24,0,47,0
44,36,16,0,52,1
3,55,18,0,5,0
65,52,16,0,6,0
27,48,23,0,55,0
45,5,46,5,5,0
44,41,23,0,51,0
3,57,19,0,48,0
4,49,47,0,49,0
45,5,16,0,52,0
45,5,6,0,49,0
59,56,41,0,47,0
47,57,48,0,48,0
35,48,22,0,26,0
47,66,26,0,53,0
64,29,28,0,51,0
59,49,43,0,53,0
54,34,31,0,54,1
58,54,17,0,48,0
4,53,16,0,52,0
46,48,53,0,53,0
53,55,5,0,45,0
41,59,47,0,48,0
5,57,15,0,47,0
4,52,31,0,49,0
6,57,25,0,41,0
62,52,42,0,54,0
34,5,21,0,54,0
39,5,26,0,54,1
29,58,15,0,5,0
47,64,3,0,63,0
39,56,16,0,47,0
58,51,47,0,55,0
64,57,19,0,43,0
37,4,27,0,45,0
43,53,16,0,54,0
